"","Mesa","Department","District","Turnout","MAS.vote","VS","BBS","stolen.prop","bboxstuff.prop","Fraud.type"
"931",931,"Chuquisaca",2,0.868456604663668,0.873277178756641,1,0,0.762,0,"VS"
"932",932,"Chuquisaca",2,0.902661094990522,0.465640142793458,0,0,0,0,"Clean"
"942",942,"Chuquisaca",2,0.989376356416947,0.670068020630076,0,1,0,0.91,"BBS"
"949",949,"Chuquisaca",2,0.989813576908185,0.477653590413086,0,1,0,0.889,"BBS"
"967",967,"Chuquisaca",2,0.858576683772762,0.531704562056668,0,0,0,0,"Clean"
"981",981,"Chuquisaca",2,0.881092337310897,0.868581910655259,1,0,0.778,0,"VS"
"990",990,"Chuquisaca",2,0.913835991885733,0.670700703570923,0,0,0,0,"Clean"
"994",994,"Chuquisaca",2,0.907819390863148,0.63797090269124,0,0,0,0,"Clean"
"1005",1005,"Chuquisaca",2,0.888673250673958,0.529111437995412,0,0,0,0,"Clean"
"1017",1017,"Chuquisaca",2,0.904699117278648,0.898725300106547,1,0,0.743,0,"VS"
"1019",1019,"Chuquisaca",2,0.913146056462592,0.595031247935573,0,0,0,0,"Clean"
"1046",1046,"Chuquisaca",3,0.905298654964419,0.757018381660932,0,0,0,0,"Clean"
"1048",1048,"Chuquisaca",3,0.86909219340173,0.89755849262854,1,0,0.723,0,"VS"
"1076",1076,"Chuquisaca",3,0.898672900494539,0.613847900280441,0,0,0,0,"Clean"
"1080",1080,"Chuquisaca",3,0.886582399074656,0.589173740790904,0,0,0,0,"Clean"
"1103",1103,"Chuquisaca",3,0.8706332010989,0.973682865502431,1,0,0.883,0,"VS"
"1109",1109,"Chuquisaca",3,0.917176359746793,0.934092678236097,1,0,0.743,0,"VS"
"1110",1110,"Chuquisaca",3,0.913733678416067,0.923364989733796,1,0,0.83,0,"VS"
"1121",1121,"Chuquisaca",3,0.876552680689543,0.935995585694337,1,0,0.801,0,"VS"
"1130",1130,"Chuquisaca",3,0.888837913486137,0.579718929122839,0,0,0,0,"Clean"
"1138",1138,"Chuquisaca",3,0.866888017076469,0.713640077347539,0,0,0,0,"Clean"
"1159",1159,"Chuquisaca",3,0.986411412158907,0.768501160264824,0,1,0,0.858,"BBS"
"1163",1163,"Chuquisaca",3,0.985778139730466,0.694236759790498,0,1,0,0.84,"BBS"
"1164",1164,"Chuquisaca",3,0.911257124555264,0.776032800890035,0,0,0,0,"Clean"
"1189",1189,"Chuquisaca",3,0.902068909237211,0.923256965347384,1,0,0.718,0,"VS"
"1190",1190,"Chuquisaca",3,0.979016164498208,0.667801324479508,0,1,0,0.802,"BBS"
"1197",1197,"Chuquisaca",3,0.982573620712478,0.754858824810208,0,1,0,0.844,"BBS"
"1199",1199,"Chuquisaca",3,0.983620648093194,0.658903721152494,0,1,0,0.842,"BBS"
"1201",1201,"Chuquisaca",3,0.894558299164988,0.584041308581388,0,0,0,0,"Clean"
"1230",1230,"Chuquisaca",3,0.891716836409911,0.908931653482944,1,0,0.777,0,"VS"
"1239",1239,"Chuquisaca",3,0.889678929473291,0.576981032214484,0,0,0,0,"Clean"
"1253",1253,"Chuquisaca",3,0.983183082111254,0.632498202541346,0,1,0,0.872,"BBS"
"1259",1259,"Chuquisaca",3,0.896158742151717,0.75241703572569,0,0,0,0,"Clean"
"1264",1264,"Chuquisaca",3,0.966523737919642,0.758863597532978,0,1,0,0.684,"BBS"
"1278",1278,"Chuquisaca",3,0.866512621755998,0.628398019043436,0,0,0,0,"Clean"
"1284",1284,"Chuquisaca",4,0.852262821141867,0.980201346675098,1,0,0.825,0,"VS"
"1333",1333,"Chuquisaca",4,0.851490727580296,0.751120185405826,0,0,0,0,"Clean"
"1353",1353,"Chuquisaca",4,0.828528184739656,0.816578141449178,0,0,0,0,"Clean"
"1356",1356,"Chuquisaca",4,0.875417518835512,0.976548819306275,1,0,0.816,0,"VS"
"1361",1361,"Chuquisaca",4,0.977009882542727,0.84851847228626,0,1,0,0.843,"BBS"
"1367",1367,"Chuquisaca",4,0.83310217658824,0.924426435193597,1,0,0.777,0,"VS"
"1377",1377,"Chuquisaca",4,0.860442083910327,0.713013387269884,0,0,0,0,"Clean"
"1380",1380,"Chuquisaca",4,0.983131019479052,0.843273693016022,0,1,0,0.891,"BBS"
"1421",1421,"Chuquisaca",4,0.858905927560791,0.877709896392331,0,0,0,0,"Clean"
"1440",1440,"Chuquisaca",4,0.960341317781414,0.772672808359064,0,1,0,0.768,"BBS"
"1450",1450,"Chuquisaca",4,0.846572813218397,0.656384819188207,0,0,0,0,"Clean"
"1462",1462,"Chuquisaca",4,0.973747630366126,0.737338575439645,0,1,0,0.812,"BBS"
"1473",1473,"Chuquisaca",4,0.975124474147731,0.666829960400539,0,1,0,0.795,"BBS"
"1475",1475,"Chuquisaca",4,0.866210327766623,0.681386989513884,0,0,0,0,"Clean"
"1512",1512,"Chuquisaca",4,0.881266095033393,0.972394052652065,1,0,0.854,0,"VS"
"1524",1524,"Chuquisaca",4,0.829191774164872,0.675961547921259,0,0,0,0,"Clean"
"1525",1525,"Chuquisaca",4,0.865409658610046,0.721707653442622,0,0,0,0,"Clean"
"1529",1529,"Chuquisaca",4,0.850372651473415,0.853230926777768,0,0,0,0,"Clean"
"1531",1531,"Chuquisaca",4,0.870089776454277,0.75205164513007,0,0,0,0,"Clean"
"1532",1532,"Chuquisaca",4,0.829910001179372,0.822030130802315,0,0,0,0,"Clean"
"1544",1544,"Chuquisaca",4,0.877930469616448,0.959199653126694,1,0,0.808,0,"VS"
"1550",1550,"Chuquisaca",4,0.97165175070137,0.749378482238165,0,1,0,0.783,"BBS"
"1552",1552,"Chuquisaca",4,0.976244152160803,0.775819079370403,0,1,0,0.82,"BBS"
"1562",1562,"Chuquisaca",4,0.845636533350224,0.660933547872113,0,0,0,0,"Clean"
"1586",1586,"Chuquisaca",4,0.86588843353628,0.927593416000802,1,0,0.751,0,"VS"
"1587",1587,"Chuquisaca",4,0.870162301572124,0.859195123250114,0,0,0,0,"Clean"
"1589",1589,"Chuquisaca",4,0.96645976218302,0.799728867133669,0,1,0,0.774,"BBS"
"1591",1591,"Chuquisaca",4,0.872591321460131,0.830609475452396,0,0,0,0,"Clean"
"1606",1606,"Chuquisaca",5,0.841270315280985,0.774745057979931,0,0,0,0,"Clean"
"1608",1608,"Chuquisaca",5,0.855179297453152,0.966808379973555,1,0,0.876,0,"VS"
"1616",1616,"Chuquisaca",5,0.859181032686016,0.944088008608031,1,0,0.754,0,"VS"
"1621",1621,"Chuquisaca",5,0.838128005362261,0.931982347125145,1,0,0.808,0,"VS"
"1625",1625,"Chuquisaca",5,0.845046045094116,0.65440982272971,0,0,0,0,"Clean"
"1639",1639,"Chuquisaca",5,0.835324606999797,0.737442410443988,0,0,0,0,"Clean"
"1650",1650,"Chuquisaca",5,0.948206209527442,0.708145322757042,0,1,0,0.68,"BBS"
"1659",1659,"Chuquisaca",5,0.882700460613345,0.922708797227686,1,0,0.802,0,"VS"
"1662",1662,"Chuquisaca",5,0.845743900683118,0.928290905152697,1,0,0.81,0,"VS"
"1692",1692,"Chuquisaca",5,0.855881659401602,0.866657566861968,0,0,0,0,"Clean"
"1717",1717,"Chuquisaca",5,0.853030479537714,0.789062704303773,0,0,0,0,"Clean"
"1722",1722,"Chuquisaca",5,0.857383859531866,0.684756257738446,0,0,0,0,"Clean"
"1730",1730,"Chuquisaca",5,0.982917319567123,0.731964780451883,0,1,0,0.874,"BBS"
"1740",1740,"Chuquisaca",5,0.86925875407589,0.938527851901225,1,0,0.75,0,"VS"
"1763",1763,"Chuquisaca",5,0.870526716811463,0.929874411476286,1,0,0.713,0,"VS"
"1776",1776,"Chuquisaca",5,0.852010821123212,0.6689129161921,0,0,0,0,"Clean"
"1782",1782,"Chuquisaca",5,0.987283569356814,0.639631219063047,0,1,0,0.909,"BBS"
"1794",1794,"Chuquisaca",5,0.874573170173097,0.953645615750643,1,0,0.869,0,"VS"
"1821",1821,"Chuquisaca",5,0.837445608503254,0.931161625710236,1,0,0.766,0,"VS"
"1825",1825,"Chuquisaca",5,0.853342807419572,0.757795684552397,0,0,0,0,"Clean"
"1827",1827,"Chuquisaca",5,0.865343217660863,0.806681122491439,0,0,0,0,"Clean"
"1829",1829,"La Paz",6,0.92668155601224,0.322123430739273,0,0,0,0,"Clean"
"1832",1832,"La Paz",6,0.915036524294645,0.358771376293002,0,0,0,0,"Clean"
"1869",1869,"La Paz",6,0.986197193405286,0.390585143742316,0,1,0,0.844,"BBS"
"1877",1877,"La Paz",6,0.916794768675768,0.470541367047479,0,0,0,0,"Clean"
"1879",1879,"La Paz",6,0.919905016890951,0.323225671164208,0,0,0,0,"Clean"
"1886",1886,"La Paz",6,0.929332542514537,0.85548618278549,1,0,0.765,0,"VS"
"1907",1907,"La Paz",6,0.989895561096726,0.37634494431176,0,1,0,0.836,"BBS"
"1908",1908,"La Paz",6,0.988385913593461,0.427972439058953,0,1,0,0.836,"BBS"
"1934",1934,"La Paz",6,0.985973037905498,0.47023726561707,0,1,0,0.834,"BBS"
"1941",1941,"La Paz",6,0.976660564661743,0.321121146750588,0,1,0,0.752,"BBS"
"1951",1951,"La Paz",6,0.928651100474247,0.473620577174332,0,0,0,0,"Clean"
"1968",1968,"La Paz",6,0.93707193826085,0.277253814123818,0,0,0,0,"Clean"
"1970",1970,"La Paz",6,0.89738342180428,0.391297002230028,0,0,0,0,"Clean"
"1992",1992,"La Paz",6,0.894832139194278,0.914890881203069,1,0,0.84,0,"VS"
"1997",1997,"La Paz",6,0.916895258646331,0.475509022469451,0,0,0,0,"Clean"
"2023",2023,"La Paz",6,0.987565386695313,0.496410309037913,0,1,0,0.875,"BBS"
"2035",2035,"La Paz",6,0.986806578564623,0.508226943449101,0,1,0,0.857,"BBS"
"2039",2039,"La Paz",6,0.939252052704532,0.396779281106626,0,0,0,0,"Clean"
"2040",2040,"La Paz",6,0.898955742749736,0.500780956419192,0,0,0,0,"Clean"
"2041",2041,"La Paz",6,0.92574461277709,0.827811497500833,1,0,0.741,0,"VS"
"2042",2042,"La Paz",6,0.899166542752672,0.500917709502751,0,0,0,0,"Clean"
"2046",2046,"La Paz",6,0.980808269629157,0.45627133263295,0,1,0,0.796,"BBS"
"2051",2051,"La Paz",6,0.99369723578836,0.282535071280551,0,1,0,0.913,"BBS"
"2058",2058,"La Paz",6,0.928791845904855,0.375520074103433,0,0,0,0,"Clean"
"2064",2064,"La Paz",6,0.941500657152739,0.320868895497987,0,0,0,0,"Clean"
"2069",2069,"La Paz",6,0.991367979124395,0.370496936051969,0,1,0,0.883,"BBS"
"2072",2072,"La Paz",6,0.944906041400796,0.909434504160023,1,0,0.835,0,"VS"
"2074",2074,"La Paz",6,0.980537176725025,0.319544634498346,0,1,0,0.784,"BBS"
"2085",2085,"La Paz",6,0.927196701946658,0.479963656008356,0,0,0,0,"Clean"
"2095",2095,"La Paz",6,0.926726974217677,0.376125514570661,0,0,0,0,"Clean"
"2097",2097,"La Paz",6,0.914660182510615,0.844448253681902,1,0,0.716,0,"VS"
"2099",2099,"La Paz",6,0.983452144620839,0.503166488785741,0,1,0,0.827,"BBS"
"2120",2120,"La Paz",6,0.917655147106894,0.880332498602767,1,0,0.799,0,"VS"
"2126",2126,"La Paz",6,0.907840554608267,0.418192121192108,0,0,0,0,"Clean"
"2131",2131,"La Paz",6,0.904697515362591,0.424068203780428,0,0,0,0,"Clean"
"2138",2138,"La Paz",6,0.899278152014797,0.885879989579602,1,0,0.772,0,"VS"
"2153",2153,"La Paz",6,0.919655033725463,0.85636677562702,1,0,0.751,0,"VS"
"2154",2154,"La Paz",6,0.929452210389298,0.332484981191462,0,0,0,0,"Clean"
"2162",2162,"La Paz",6,0.894256553500908,0.921564912142278,1,0,0.855,0,"VS"
"2171",2171,"La Paz",6,0.992383270403893,0.286237269317426,0,1,0,0.865,"BBS"
"2188",2188,"La Paz",6,0.992781444078694,0.375603117035273,0,1,0,0.928,"BBS"
"2241",2241,"La Paz",6,0.930273555048863,0.885968242580949,1,0,0.773,0,"VS"
"2246",2246,"La Paz",6,0.904089332820261,0.920225795527106,1,0,0.866,0,"VS"
"2248",2248,"La Paz",6,0.914259985050448,0.401189672382098,0,0,0,0,"Clean"
"2256",2256,"La Paz",6,0.929919917046927,0.453661192235898,0,0,0,0,"Clean"
"2260",2260,"La Paz",6,0.916908187655776,0.341135613285476,0,0,0,0,"Clean"
"2269",2269,"La Paz",6,0.894199610371616,0.902613329450543,1,0,0.845,0,"VS"
"2270",2270,"La Paz",6,0.90157266359436,0.415336378921945,0,0,0,0,"Clean"
"2276",2276,"La Paz",6,0.942901746118383,0.365056248294971,0,0,0,0,"Clean"
"2296",2296,"La Paz",6,0.895253965718922,0.85037587680986,1,0,0.751,0,"VS"
"2303",2303,"La Paz",6,0.902931358622174,0.443913979398546,0,0,0,0,"Clean"
"2309",2309,"La Paz",6,0.920513808416824,0.841421205835826,1,0,0.716,0,"VS"
"2313",2313,"La Paz",6,0.991915447237993,0.383459231417885,0,1,0,0.857,"BBS"
"2330",2330,"La Paz",6,0.907976395760326,0.851946558303374,1,0,0.791,0,"VS"
"2336",2336,"La Paz",6,0.989301578024138,0.377986021030957,0,1,0,0.876,"BBS"
"2345",2345,"La Paz",6,0.920732674304931,0.865970636616067,1,0,0.806,0,"VS"
"2347",2347,"La Paz",6,0.939642042347897,0.472046258754235,0,0,0,0,"Clean"
"2349",2349,"La Paz",6,0.941185927027253,0.878081133953664,1,0,0.816,0,"VS"
"2350",2350,"La Paz",6,0.992218197986479,0.455415717829507,0,1,0,0.889,"BBS"
"2379",2379,"La Paz",6,0.929406133739788,0.454784231135355,0,0,0,0,"Clean"
"2416",2416,"La Paz",6,0.934458052896671,0.903907608151245,1,0,0.815,0,"VS"
"2422",2422,"La Paz",6,0.928644413682931,0.404986503211093,0,0,0,0,"Clean"
"2428",2428,"La Paz",6,0.917117221734134,0.854857675966086,1,0,0.742,0,"VS"
"2430",2430,"La Paz",6,0.901013953804831,0.897100371700579,1,0,0.806,0,"VS"
"2432",2432,"La Paz",6,0.927320957088006,0.861250857879624,1,0,0.795,0,"VS"
"2480",2480,"La Paz",6,0.907585531539976,0.862611183422562,1,0,0.779,0,"VS"
"2490",2490,"La Paz",6,0.924876975578332,0.366515777504447,0,0,0,0,"Clean"
"2491",2491,"La Paz",6,0.925788525385492,0.861373198028391,1,0,0.725,0,"VS"
"2501",2501,"La Paz",6,0.941307802128357,0.893301008933705,1,0,0.84,0,"VS"
"2520",2520,"La Paz",6,0.944668177634121,0.41748326356037,0,0,0,0,"Clean"
"2531",2531,"La Paz",6,0.909760576139419,0.335699263015968,0,0,0,0,"Clean"
"2556",2556,"La Paz",6,0.93647409425852,0.400893338331315,0,0,0,0,"Clean"
"2570",2570,"La Paz",6,0.943656071661741,0.886646789204889,1,0,0.793,0,"VS"
"2587",2587,"La Paz",6,0.982945033379026,0.319099695178757,0,1,0,0.808,"BBS"
"2590",2590,"La Paz",6,0.912736238018758,0.9029619164516,1,0,0.83,0,"VS"
"2602",2602,"La Paz",6,0.931250833194671,0.502047679828709,0,0,0,0,"Clean"
"2603",2603,"La Paz",6,0.934112468034727,0.47567320101542,0,0,0,0,"Clean"
"2606",2606,"La Paz",6,0.902047959080795,0.430460048199323,0,0,0,0,"Clean"
"2613",2613,"La Paz",6,0.932877920993913,0.881746487302473,1,0,0.782,0,"VS"
"2622",2622,"La Paz",6,0.977924323941948,0.467929899335125,0,1,0,0.751,"BBS"
"2624",2624,"La Paz",6,0.916661546231992,0.344594875084961,0,0,0,0,"Clean"
"2638",2638,"La Paz",6,0.899779338501916,0.317767055198228,0,0,0,0,"Clean"
"2653",2653,"La Paz",7,0.930622360665561,0.893113794083359,1,0,0.839,0,"VS"
"2662",2662,"La Paz",7,0.985641610418709,0.392994988370857,0,1,0,0.867,"BBS"
"2677",2677,"La Paz",7,0.992737853555842,0.313825186668925,0,1,0,0.926,"BBS"
"2681",2681,"La Paz",7,0.903807622960538,0.831634285113541,1,0,0.744,0,"VS"
"2689",2689,"La Paz",7,0.91887811348762,0.36035039064977,0,0,0,0,"Clean"
"2700",2700,"La Paz",7,0.941386287253118,0.330047494952741,0,0,0,0,"Clean"
"2728",2728,"La Paz",7,0.911081510877736,0.278576565010341,0,0,0,0,"Clean"
"2730",2730,"La Paz",7,0.889371471757594,0.337495381104019,0,0,0,0,"Clean"
"2742",2742,"La Paz",7,0.996330919921078,0.42845645755083,0,1,0,0.948,"BBS"
"2766",2766,"La Paz",7,0.924517453896447,0.478838952998362,0,0,0,0,"Clean"
"2782",2782,"La Paz",7,0.986401974941866,0.366817659854611,0,1,0,0.835,"BBS"
"2786",2786,"La Paz",7,0.910126922451683,0.326931114983808,0,0,0,0,"Clean"
"2795",2795,"La Paz",7,0.897810917886559,0.267717035836815,0,0,0,0,"Clean"
"2798",2798,"La Paz",7,0.940547180632011,0.494270281695196,0,0,0,0,"Clean"
"2802",2802,"La Paz",7,0.987834136063875,0.444117650531874,0,1,0,0.821,"BBS"
"2805",2805,"La Paz",7,0.904182176429163,0.882940710195135,1,0,0.83,0,"VS"
"2806",2806,"La Paz",7,0.938708512549052,0.469593133389197,0,0,0,0,"Clean"
"2809",2809,"La Paz",7,0.906367472574392,0.455398214640726,0,0,0,0,"Clean"
"2813",2813,"La Paz",7,0.978218245806738,0.440576282918765,0,1,0,0.756,"BBS"
"2825",2825,"La Paz",7,0.940074243200277,0.409827113978652,0,0,0,0,"Clean"
"2829",2829,"La Paz",7,0.986061729730093,0.366167697513507,0,1,0,0.763,"BBS"
"2832",2832,"La Paz",7,0.988715087432315,0.378086552232691,0,1,0,0.863,"BBS"
"2834",2834,"La Paz",7,0.902450715072501,0.39850488311755,0,0,0,0,"Clean"
"2852",2852,"La Paz",7,0.902643614545539,0.28556509634336,0,0,0,0,"Clean"
"2869",2869,"La Paz",7,0.906212757387102,0.440000633485155,0,0,0,0,"Clean"
"2873",2873,"La Paz",7,0.893074372696831,0.88257141875195,1,0,0.827,0,"VS"
"2887",2887,"La Paz",7,0.981351665727889,0.358993244540966,0,1,0,0.799,"BBS"
"2891",2891,"La Paz",7,0.918046553024688,0.443565808632036,0,0,0,0,"Clean"
"2894",2894,"La Paz",7,0.914620765475966,0.299170674355833,0,0,0,0,"Clean"
"2905",2905,"La Paz",7,0.892552237662111,0.818179038088703,1,0,0.703,0,"VS"
"2927",2927,"La Paz",7,0.909617302773349,0.321413302890086,0,0,0,0,"Clean"
"2932",2932,"La Paz",7,0.98054676738466,0.388401010359612,0,1,0,0.763,"BBS"
"2934",2934,"La Paz",7,0.984402475168615,0.430063760745587,0,1,0,0.737,"BBS"
"2947",2947,"La Paz",7,0.935608970181352,0.818918034463426,1,0,0.737,0,"VS"
"2952",2952,"La Paz",7,0.939143708155706,0.835780916407063,1,0,0.699,0,"VS"
"2975",2975,"La Paz",7,0.904590978138167,0.854579787214543,1,0,0.792,0,"VS"
"2983",2983,"La Paz",7,0.903774280875289,0.913074945826265,1,0,0.844,0,"VS"
"2985",2985,"La Paz",7,0.993023547389529,0.276969131178772,0,1,0,0.881,"BBS"
"3024",3024,"La Paz",7,0.992054115412187,0.462674769308565,0,1,0,0.922,"BBS"
"3025",3025,"La Paz",7,0.98182989326857,0.350203651336592,0,1,0,0.766,"BBS"
"3048",3048,"La Paz",7,0.928504785881774,0.353798144142698,0,0,0,0,"Clean"
"3058",3058,"La Paz",7,0.919650501915067,0.387297059481417,0,0,0,0,"Clean"
"3111",3111,"La Paz",7,0.925472067078892,0.846078703514384,1,0,0.749,0,"VS"
"3115",3115,"La Paz",7,0.98236334602596,0.415898596834321,0,1,0,0.728,"BBS"
"3141",3141,"La Paz",7,0.983523317853052,0.445104446817857,0,1,0,0.827,"BBS"
"3144",3144,"La Paz",7,0.893085757949092,0.893679287272064,1,0,0.828,0,"VS"
"3151",3151,"La Paz",7,0.929165731564219,0.888245940710793,1,0,0.834,0,"VS"
"3154",3154,"La Paz",7,0.909329627437092,0.31291180970908,0,0,0,0,"Clean"
"3167",3167,"La Paz",7,0.980959610733391,0.291139984421715,0,1,0,0.792,"BBS"
"3174",3174,"La Paz",7,0.913285547967516,0.42327719355081,0,0,0,0,"Clean"
"3175",3175,"La Paz",7,0.927451020097509,0.491637292439749,0,0,0,0,"Clean"
"3190",3190,"La Paz",7,0.900431978446309,0.398149141611087,0,0,0,0,"Clean"
