"","Mesa","Department","District","Turnout","MAS.vote","VS","BBS","stolen.prop","bboxstuff.prop","Fraud.type"
"23",23,"Chuquisaca",1,0.869089135500861,0.389867728566701,0,0,0,0,"Clean"
"24",24,"Chuquisaca",1,0.906034762402562,0.898987272671429,1,0,0.805,0,"VS"
"25",25,"Chuquisaca",1,0.87238025160917,0.879990700566902,1,0,0.784,0,"VS"
"26",26,"Chuquisaca",1,0.865303462703112,0.896104930360752,1,0,0.807,0,"VS"
"27",27,"Chuquisaca",1,0.878115626692576,0.563965569933159,0,0,0,0,"Clean"
"28",28,"Chuquisaca",1,0.857308075041058,0.838408312146453,1,0,0.75,0,"VS"
"29",29,"Chuquisaca",1,0.873625486622503,0.893917912766242,1,0,0.819,0,"VS"
"30",30,"Chuquisaca",1,0.868075112502475,0.561638689211537,0,0,0,0,"Clean"
"31",31,"Chuquisaca",1,0.880229287561675,0.447626626993289,0,0,0,0,"Clean"
"32",32,"Chuquisaca",1,0.863723803800236,0.362120680181002,0,0,0,0,"Clean"
"33",33,"Chuquisaca",1,0.862792315522659,0.447559748410947,0,0,0,0,"Clean"
"34",34,"Chuquisaca",1,0.904753979483293,0.35062904429507,0,0,0,0,"Clean"
"35",35,"Chuquisaca",1,0.880956861824916,0.554600493236573,0,0,0,0,"Clean"
"36",36,"Chuquisaca",1,0.88947616196673,0.368138623897937,0,0,0,0,"Clean"
"37",37,"Chuquisaca",1,0.889188038045448,0.82804569467711,1,0,0.721,0,"VS"
"38",38,"Chuquisaca",1,0.89826480924814,0.517405678175104,0,0,0,0,"Clean"
"39",39,"Chuquisaca",1,0.898463960599161,0.406671665264644,0,0,0,0,"Clean"
"40",40,"Chuquisaca",1,0.8648216539819,0.45647250605975,0,0,0,0,"Clean"
"41",41,"Chuquisaca",1,0.906899279983055,0.432328480314214,0,0,0,0,"Clean"
"42",42,"Chuquisaca",1,0.888382092257606,0.538268876052153,0,0,0,0,"Clean"
"43",43,"Chuquisaca",1,0.87669139815281,0.867271051914683,1,0,0.755,0,"VS"
"44",44,"Chuquisaca",1,0.881566782216641,0.519503248739523,0,0,0,0,"Clean"
"45",45,"Chuquisaca",1,0.907232040467562,0.907218149144004,1,0,0.793,0,"VS"
"46",46,"Chuquisaca",1,0.876065176259635,0.862277515218766,1,0,0.741,0,"VS"
"47",47,"Chuquisaca",1,0.886492036246674,0.875847056279289,1,0,0.788,0,"VS"
"48",48,"Chuquisaca",1,0.873380309727223,0.363865777131771,0,0,0,0,"Clean"
"49",49,"Chuquisaca",1,0.980179820291162,0.37237554659717,0,1,0,0.857,"BBS"
"50",50,"Chuquisaca",1,0.908714621606647,0.940383861290815,1,0,0.874,0,"VS"
"51",51,"Chuquisaca",1,0.905459852477584,0.430505261043096,0,0,0,0,"Clean"
"52",52,"Chuquisaca",1,0.88299838266345,0.513304695863793,0,0,0,0,"Clean"
"53",53,"Chuquisaca",1,0.967899797339999,0.45662305541181,0,1,0,0.711,"BBS"
"54",54,"Chuquisaca",1,0.860392685124617,0.912265029130712,1,0,0.824,0,"VS"
"55",55,"Chuquisaca",1,0.881766888869664,0.436460044562897,0,0,0,0,"Clean"
"56",56,"Chuquisaca",1,0.988564027776501,0.427724888421651,0,1,0,0.899,"BBS"
"57",57,"Chuquisaca",1,0.867057048322142,0.371423932066536,0,0,0,0,"Clean"
"58",58,"Chuquisaca",1,0.87770421406268,0.379253849667302,0,0,0,0,"Clean"
"59",59,"Chuquisaca",1,0.896003470533008,0.941038824130139,1,0,0.877,0,"VS"
"60",60,"Chuquisaca",1,0.894635620975875,0.487563882103478,0,0,0,0,"Clean"
"61",61,"Chuquisaca",1,0.90064155947449,0.374030967105427,0,0,0,0,"Clean"
"62",62,"Chuquisaca",1,0.965673232531232,0.364562745879448,0,1,0,0.759,"BBS"
"63",63,"Chuquisaca",1,0.900989959076734,0.852723025103321,1,0,0.736,0,"VS"
"64",64,"Chuquisaca",1,0.870092925549954,0.431280954045708,0,0,0,0,"Clean"
"65",65,"Chuquisaca",1,0.968649038727248,0.560031133835126,0,1,0,0.743,"BBS"
"66",66,"Chuquisaca",1,0.872868757964526,0.905916844283809,1,0,0.82,0,"VS"
"67",67,"Chuquisaca",1,0.904192261545562,0.528715248107751,0,0,0,0,"Clean"
"68",68,"Chuquisaca",1,0.893409071605821,0.900844745262025,1,0,0.808,0,"VS"
"69",69,"Chuquisaca",1,0.982991001762525,0.423294288879759,0,1,0,0.862,"BBS"
"70",70,"Chuquisaca",1,0.881231456202177,0.400123909353913,0,0,0,0,"Clean"
"71",71,"Chuquisaca",1,0.902257420476687,0.874190928594068,1,0,0.749,0,"VS"
"72",72,"Chuquisaca",1,0.890764128715746,0.509892989465473,0,0,0,0,"Clean"
"73",73,"Chuquisaca",1,0.862150382408044,0.529828806291901,0,0,0,0,"Clean"
"74",74,"Chuquisaca",1,0.865690466920701,0.46134963317043,0,0,0,0,"Clean"
"75",75,"Chuquisaca",1,0.868432638170907,0.892028109846168,1,0,0.829,0,"VS"
"76",76,"Chuquisaca",1,0.878270881552103,0.905374031079128,1,0,0.813,0,"VS"
"77",77,"Chuquisaca",1,0.898885214123475,0.492525147209396,0,0,0,0,"Clean"
"78",78,"Chuquisaca",1,0.985320179182072,0.46933530190427,0,1,0,0.865,"BBS"
"79",79,"Chuquisaca",1,0.858753132243658,0.461082102667461,0,0,0,0,"Clean"
"80",80,"Chuquisaca",1,0.900682898578318,0.38800067708291,0,0,0,0,"Clean"
"81",81,"Chuquisaca",1,0.882876991901061,0.576997888359044,0,0,0,0,"Clean"
"82",82,"Chuquisaca",1,0.869816426633374,0.545904797115639,0,0,0,0,"Clean"
"83",83,"Chuquisaca",1,0.890744343971375,0.535723774836508,0,0,0,0,"Clean"
"84",84,"Chuquisaca",1,0.990474972871639,0.500750697091153,0,1,0,0.897,"BBS"
"85",85,"Chuquisaca",1,0.97405032542159,0.48613854622315,0,1,0,0.811,"BBS"
"86",86,"Chuquisaca",1,0.868792291763231,0.940366823304062,1,0,0.88,0,"VS"
"87",87,"Chuquisaca",1,0.871607382109858,0.559722745731885,0,0,0,0,"Clean"
"88",88,"Chuquisaca",1,0.85942512519249,0.513738892339166,0,0,0,0,"Clean"
"89",89,"Chuquisaca",1,0.857792539109614,0.826034449232491,1,0,0.728,0,"VS"
"90",90,"Chuquisaca",1,0.876031445669636,0.515844453619812,0,0,0,0,"Clean"
"91",91,"Chuquisaca",1,0.986869491893037,0.447097399443225,0,1,0,0.856,"BBS"
"92",92,"Chuquisaca",1,0.889086422660194,0.896415472121038,1,0,0.836,0,"VS"
"93",93,"Chuquisaca",1,0.863839657541092,0.905863624665713,1,0,0.779,0,"VS"
"94",94,"Chuquisaca",1,0.972979108026712,0.534282150331724,0,1,0,0.779,"BBS"
"95",95,"Chuquisaca",1,0.870515769631026,0.876578338421743,1,0,0.719,0,"VS"
"96",96,"Chuquisaca",1,0.874492353229698,0.377390152130684,0,0,0,0,"Clean"
"97",97,"Chuquisaca",1,0.878863565363998,0.362620427726623,0,0,0,0,"Clean"
"98",98,"Chuquisaca",1,0.897519981676146,0.469735002324577,0,0,0,0,"Clean"
"99",99,"Chuquisaca",1,0.996201024978322,0.366412038909647,0,1,0,0.968,"BBS"
"100",100,"Chuquisaca",1,0.859995168009466,0.924730619192639,1,0,0.854,0,"VS"
"101",101,"Chuquisaca",1,0.86581503605849,0.516987581614449,0,0,0,0,"Clean"
"102",102,"Chuquisaca",1,0.973657614109172,0.493266581493886,0,1,0,0.732,"BBS"
"103",103,"Chuquisaca",1,0.907621624025777,0.874928494268766,1,0,0.787,0,"VS"
"104",104,"Chuquisaca",1,0.986369214147684,0.466257755124115,0,1,0,0.897,"BBS"
"105",105,"Chuquisaca",1,0.895115374645491,0.456279476746335,0,0,0,0,"Clean"
"106",106,"Chuquisaca",1,0.875873919471425,0.500754719476204,0,0,0,0,"Clean"
"107",107,"Chuquisaca",1,0.963364379240736,0.360077204510713,0,1,0,0.741,"BBS"
"108",108,"Chuquisaca",1,0.907076773022313,0.414957690898294,0,0,0,0,"Clean"
"109",109,"Chuquisaca",1,0.862915052657164,0.392676119450253,0,0,0,0,"Clean"
"110",110,"Chuquisaca",1,0.861707996530287,0.464308879480788,0,0,0,0,"Clean"
"111",111,"Chuquisaca",1,0.862440038701134,0.926400896309793,1,0,0.849,0,"VS"
"112",112,"Chuquisaca",1,0.902284753928685,0.875306524772858,1,0,0.789,0,"VS"
"113",113,"Chuquisaca",1,0.906137434183917,0.413894866265936,0,0,0,0,"Clean"
"114",114,"Chuquisaca",1,0.881143677522236,0.923749555917354,1,0,0.84,0,"VS"
"115",115,"Chuquisaca",1,0.858012763704415,0.361423152539668,0,0,0,0,"Clean"
"116",116,"Chuquisaca",1,0.88327941293265,0.544764352289381,0,0,0,0,"Clean"
"117",117,"Chuquisaca",1,0.981188439962763,0.490945264490789,0,1,0,0.818,"BBS"
"118",118,"Chuquisaca",1,0.979676175196596,0.439206256412268,0,1,0,0.808,"BBS"
"119",119,"Chuquisaca",1,0.879089113803645,0.814942277681029,1,0,0.715,0,"VS"
"120",120,"Chuquisaca",1,0.865086806172759,0.931151467634692,1,0,0.842,0,"VS"
"121",121,"Chuquisaca",1,0.969396291304423,0.429864465337589,0,1,0,0.777,"BBS"
"122",122,"Chuquisaca",1,0.896950328788403,0.865496110517693,1,0,0.76,0,"VS"
"123",123,"Chuquisaca",1,0.883613956470625,0.426053821604324,0,0,0,0,"Clean"
"124",124,"Chuquisaca",1,0.872550544305924,0.366126730108504,0,0,0,0,"Clean"
"125",125,"Chuquisaca",1,0.86704568779776,0.875139449677614,1,0,0.766,0,"VS"
"126",126,"Chuquisaca",1,0.884493465928841,0.517935497710863,0,0,0,0,"Clean"
"127",127,"Chuquisaca",1,0.905827916058903,0.568364874994819,0,0,0,0,"Clean"
"128",128,"Chuquisaca",1,0.898325713170439,0.856165073842187,1,0,0.763,0,"VS"
"129",129,"Chuquisaca",1,0.883827403113233,0.483223089456954,0,0,0,0,"Clean"
"130",130,"Chuquisaca",1,0.899018466293194,0.435315935032888,0,0,0,0,"Clean"
"131",131,"Chuquisaca",1,0.900236641714095,0.360324260672092,0,0,0,0,"Clean"
"132",132,"Chuquisaca",1,0.891737518467602,0.835571623388658,1,0,0.709,0,"VS"
"133",133,"Chuquisaca",1,0.864978200667405,0.356007257529612,0,0,0,0,"Clean"
"134",134,"Chuquisaca",1,0.880024850519282,0.510182511649118,0,0,0,0,"Clean"
"135",135,"Chuquisaca",1,0.876609202165684,0.360639823256769,0,0,0,0,"Clean"
"136",136,"Chuquisaca",1,0.89993653425113,0.408031539401944,0,0,0,0,"Clean"
"137",137,"Chuquisaca",1,0.897358134431784,0.942555269462144,1,0,0.884,0,"VS"
"138",138,"Chuquisaca",1,0.865261912716369,0.569426759377048,0,0,0,0,"Clean"
"139",139,"Chuquisaca",1,0.884520548471003,0.427352848316138,0,0,0,0,"Clean"
"140",140,"Chuquisaca",1,0.969179324908777,0.518834392263005,0,1,0,0.763,"BBS"
"141",141,"Chuquisaca",1,0.874239131991896,0.89400810036448,1,0,0.764,0,"VS"
"142",142,"Chuquisaca",1,0.987795570544387,0.492259944108801,0,1,0,0.886,"BBS"
"143",143,"Chuquisaca",1,0.977382449161106,0.488455391119341,0,1,0,0.769,"BBS"
"144",144,"Chuquisaca",1,0.963523141365513,0.564365577971089,0,1,0,0.731,"BBS"
"145",145,"Chuquisaca",1,0.8749217653528,0.397262327010138,0,0,0,0,"Clean"
"146",146,"Chuquisaca",1,0.89548737696962,0.491606274430214,0,0,0,0,"Clean"
"147",147,"Chuquisaca",1,0.980025949317693,0.527078478686859,0,1,0,0.81,"BBS"
"148",148,"Chuquisaca",1,0.901549705787626,0.428272733967043,0,0,0,0,"Clean"
"149",149,"Chuquisaca",1,0.873190662482439,0.923874245198056,1,0,0.843,0,"VS"
"150",150,"Chuquisaca",1,0.886550631361343,0.866659813907374,1,0,0.774,0,"VS"
"151",151,"Chuquisaca",1,0.889187553915442,0.56386930237608,0,0,0,0,"Clean"
"152",152,"Chuquisaca",1,0.994484516573629,0.352259947327659,0,1,0,0.94,"BBS"
"153",153,"Chuquisaca",1,0.972592040385374,0.418992288932924,0,1,0,0.72,"BBS"
"154",154,"Chuquisaca",1,0.974780418937621,0.46812864171969,0,1,0,0.785,"BBS"
"155",155,"Chuquisaca",1,0.867992361242383,0.86347056200027,1,0,0.788,0,"VS"
"156",156,"Chuquisaca",1,0.859263664586819,0.947326219199946,1,0,0.885,0,"VS"
"157",157,"Chuquisaca",1,0.887601138052591,0.573254118898708,0,0,0,0,"Clean"
"158",158,"Chuquisaca",1,0.867271905646549,0.887125007593906,1,0,0.734,0,"VS"
"159",159,"Chuquisaca",1,0.866354315045387,0.852453907260426,1,0,0.738,0,"VS"
"160",160,"Chuquisaca",1,0.974183647512805,0.509611004818029,0,1,0,0.721,"BBS"
"161",161,"Chuquisaca",1,0.860840237177416,0.515999337496769,0,0,0,0,"Clean"
"162",162,"Chuquisaca",1,0.974791964071232,0.402935466645357,0,1,0,0.816,"BBS"
"163",163,"Chuquisaca",1,0.893067815097854,0.37029583849749,0,0,0,0,"Clean"
"164",164,"Chuquisaca",1,0.876792289450682,0.501215798390677,0,0,0,0,"Clean"
"165",165,"Chuquisaca",1,0.906289173051223,0.530372982345305,0,0,0,0,"Clean"
"166",166,"Chuquisaca",1,0.863730518319425,0.396551351658533,0,0,0,0,"Clean"
"167",167,"Chuquisaca",1,0.990450291158902,0.42936419869388,0,1,0,0.901,"BBS"
"168",168,"Chuquisaca",1,0.983346545716962,0.533574005466588,0,1,0,0.882,"BBS"
"169",169,"Chuquisaca",1,0.885089464481484,0.521732620154616,0,0,0,0,"Clean"
"170",170,"Chuquisaca",1,0.89471697615745,0.35680633755835,0,0,0,0,"Clean"
"171",171,"Chuquisaca",1,0.894656360277673,0.420322918593836,0,0,0,0,"Clean"
"172",172,"Chuquisaca",1,0.903761040320869,0.550108870008872,0,0,0,0,"Clean"
"173",173,"Chuquisaca",1,0.992864269039474,0.538381185001054,0,1,0,0.933,"BBS"
"174",174,"Chuquisaca",1,0.889884462452392,0.555100689067578,0,0,0,0,"Clean"
"175",175,"Chuquisaca",1,0.857874953953813,0.938714326915137,1,0,0.864,0,"VS"
"176",176,"Chuquisaca",1,0.998311820002068,0.531806322561734,0,1,0,0.984,"BBS"
"177",177,"Chuquisaca",1,0.878834299595221,0.538975016614504,0,0,0,0,"Clean"
"178",178,"Chuquisaca",1,0.900975898662598,0.912919115032234,1,0,0.835,0,"VS"
"179",179,"Chuquisaca",1,0.89343010079957,0.384697755650704,0,0,0,0,"Clean"
"180",180,"Chuquisaca",1,0.990058758279672,0.47629576079915,0,1,0,0.895,"BBS"
"181",181,"Chuquisaca",1,0.982761111537212,0.566407556625696,0,1,0,0.867,"BBS"
"182",182,"Chuquisaca",1,0.887818713484826,0.509482612979252,0,0,0,0,"Clean"
"183",183,"Chuquisaca",1,0.895876719921959,0.56161994672205,0,0,0,0,"Clean"
"184",184,"Chuquisaca",1,0.990005403844213,0.369206396215536,0,1,0,0.906,"BBS"
"185",185,"Chuquisaca",1,0.972417914694849,0.541124727408325,0,1,0,0.804,"BBS"
"186",186,"Chuquisaca",1,0.900462244147455,0.487946819119034,0,0,0,0,"Clean"
"187",187,"Chuquisaca",1,0.979706598523125,0.379151161988917,0,1,0,0.829,"BBS"
"188",188,"Chuquisaca",1,0.981454564182562,0.508520080523535,0,1,0,0.87,"BBS"
"189",189,"Chuquisaca",1,0.890223353961319,0.948911103540946,1,0,0.898,0,"VS"
"190",190,"Chuquisaca",1,0.868356588772225,0.4619650653188,0,0,0,0,"Clean"
"191",191,"Chuquisaca",1,0.893617060884434,0.866183093150657,1,0,0.792,0,"VS"
"192",192,"Chuquisaca",1,0.890948791726044,0.355927804824229,0,0,0,0,"Clean"
"193",193,"Chuquisaca",1,0.896329244668329,0.449862651557219,0,0,0,0,"Clean"
"194",194,"Chuquisaca",1,0.874684518964099,0.531001530113112,0,0,0,0,"Clean"
"195",195,"Chuquisaca",1,0.880932550123321,0.359527962236604,0,0,0,0,"Clean"
"196",196,"Chuquisaca",1,0.906320029616943,0.87763300036815,1,0,0.771,0,"VS"
"197",197,"Chuquisaca",1,0.987696717099031,0.381285399541832,0,1,0,0.878,"BBS"
"198",198,"Chuquisaca",1,0.8660199362747,0.567126237687024,0,0,0,0,"Clean"
"199",199,"Chuquisaca",1,0.866867784617655,0.544561939148799,0,0,0,0,"Clean"
"200",200,"Chuquisaca",1,0.878370097159449,0.385102991219722,0,0,0,0,"Clean"
"201",201,"Chuquisaca",1,0.896087534323073,0.884729813585129,1,0,0.763,0,"VS"
"202",202,"Chuquisaca",1,0.989615728224858,0.394149326101906,0,1,0,0.903,"BBS"
"203",203,"Chuquisaca",1,0.902932090833907,0.431244945226982,0,0,0,0,"Clean"
"204",204,"Chuquisaca",1,0.891295170070799,0.569876198406711,0,0,0,0,"Clean"
"205",205,"Chuquisaca",1,0.865040304904988,0.477348599137729,0,0,0,0,"Clean"
"206",206,"Chuquisaca",1,0.897149910323756,0.898455235558889,1,0,0.838,0,"VS"
"207",207,"Chuquisaca",1,0.973023821968979,0.577913504019845,0,1,0,0.764,"BBS"
"208",208,"Chuquisaca",1,0.864135141792473,0.568554149479224,0,0,0,0,"Clean"
"209",209,"Chuquisaca",1,0.986461232202882,0.542593052665218,0,1,0,0.879,"BBS"
"210",210,"Chuquisaca",1,0.886489794931183,0.576285336081404,0,0,0,0,"Clean"
"211",211,"Chuquisaca",1,0.867478247684614,0.490499208988963,0,0,0,0,"Clean"
"212",212,"Chuquisaca",1,0.986488681438631,0.413204141113229,0,1,0,0.897,"BBS"
"213",213,"Chuquisaca",1,0.861479388775217,0.896073801511592,1,0,0.836,0,"VS"
"214",214,"Chuquisaca",1,0.868802519980869,0.891746351853995,1,0,0.792,0,"VS"
"215",215,"Chuquisaca",1,0.896753540370826,0.352755335449551,0,0,0,0,"Clean"
"216",216,"Chuquisaca",1,0.899563118158818,0.445341065457981,0,0,0,0,"Clean"
"217",217,"Chuquisaca",1,0.874516615561153,0.35726564764489,0,0,0,0,"Clean"
"218",218,"Chuquisaca",1,0.876522747064252,0.442837601420787,0,0,0,0,"Clean"
"219",219,"Chuquisaca",1,0.87856700103422,0.390642463070681,0,0,0,0,"Clean"
"220",220,"Chuquisaca",1,0.891880198028293,0.442458667850145,0,0,0,0,"Clean"
"221",221,"Chuquisaca",1,0.975475355010429,0.49336943404723,0,1,0,0.788,"BBS"
"222",222,"Chuquisaca",1,0.892905763119328,0.397260443158114,0,0,0,0,"Clean"
"223",223,"Chuquisaca",1,0.970718285452945,0.446796162891084,0,1,0,0.745,"BBS"
"224",224,"Chuquisaca",1,0.872354711970953,0.459771751934869,0,0,0,0,"Clean"
"225",225,"Chuquisaca",1,0.968035571381724,0.508593866244083,0,1,0,0.729,"BBS"
"226",226,"Chuquisaca",1,0.897843156079087,0.43109442391271,0,0,0,0,"Clean"
"227",227,"Chuquisaca",1,0.868578818628157,0.536866030520778,0,0,0,0,"Clean"
"228",228,"Chuquisaca",1,0.980007524905216,0.353230612231417,0,1,0,0.858,"BBS"
"229",229,"Chuquisaca",1,0.877285695074886,0.442620998552815,0,0,0,0,"Clean"
"230",230,"Chuquisaca",1,0.861541511459049,0.519614544710296,0,0,0,0,"Clean"
"231",231,"Chuquisaca",1,0.955798512058693,0.416541160538403,0,1,0,0.682,"BBS"
"232",232,"Chuquisaca",1,0.98415503522506,0.414521647014701,0,1,0,0.849,"BBS"
"233",233,"Chuquisaca",1,0.902351073662879,0.8754486178751,1,0,0.794,0,"VS"
"234",234,"Chuquisaca",1,0.870611878474294,0.867181007000364,1,0,0.741,0,"VS"
"235",235,"Chuquisaca",1,0.888718740649651,0.369986757429957,0,0,0,0,"Clean"
"236",236,"Chuquisaca",1,0.901606478458396,0.535482203600555,0,0,0,0,"Clean"
"237",237,"Chuquisaca",1,0.860768457869521,0.917709306766599,1,0,0.863,0,"VS"
"238",238,"Chuquisaca",1,0.982943286179046,0.499144449222645,0,1,0,0.819,"BBS"
"239",239,"Chuquisaca",1,0.976414884692699,0.474739394123055,0,1,0,0.794,"BBS"
"240",240,"Chuquisaca",1,0.973275763198997,0.420158609019241,0,1,0,0.81,"BBS"
"241",241,"Chuquisaca",1,0.900972115692127,0.89547720022444,1,0,0.828,0,"VS"
"242",242,"Chuquisaca",1,0.967192416865462,0.402876742111325,0,1,0,0.755,"BBS"
"243",243,"Chuquisaca",1,0.904821151323766,0.888107951405441,1,0,0.798,0,"VS"
"244",244,"Chuquisaca",1,0.890570452154181,0.526087418660232,0,0,0,0,"Clean"
"245",245,"Chuquisaca",1,0.987680148857026,0.369349440272189,0,1,0,0.879,"BBS"
"246",246,"Chuquisaca",1,0.884141186669434,0.542240060432305,0,0,0,0,"Clean"
"247",247,"Chuquisaca",1,0.882623642644361,0.884692222774416,1,0,0.805,0,"VS"
"248",248,"Chuquisaca",1,0.864054296140526,0.408341863176573,0,0,0,0,"Clean"
"249",249,"Chuquisaca",1,0.906298027455543,0.357792035770443,0,0,0,0,"Clean"
"250",250,"Chuquisaca",1,0.858872664246093,0.910192587221403,1,0,0.84,0,"VS"
"251",251,"Chuquisaca",1,0.858897827021171,0.900364830238195,1,0,0.764,0,"VS"
"252",252,"Chuquisaca",1,0.863866398287205,0.84986477341412,1,0,0.752,0,"VS"
"253",253,"Chuquisaca",1,0.97427225629845,0.533106572189265,0,1,0,0.772,"BBS"
"254",254,"Chuquisaca",1,0.903829042422747,0.491299379458862,0,0,0,0,"Clean"
"255",255,"Chuquisaca",1,0.880833401503725,0.537648070863493,0,0,0,0,"Clean"
"256",256,"Chuquisaca",1,0.979276821395256,0.367018108352296,0,1,0,0.81,"BBS"
"257",257,"Chuquisaca",1,0.867169378552969,0.461529212539064,0,0,0,0,"Clean"
"258",258,"Chuquisaca",1,0.857847518543049,0.529659894051139,0,0,0,0,"Clean"
"259",259,"Chuquisaca",1,0.870841108754285,0.574643807897821,0,0,0,0,"Clean"
"260",260,"Chuquisaca",1,0.993686393201318,0.387488293167167,0,1,0,0.939,"BBS"
"261",261,"Chuquisaca",1,0.904806418414105,0.365923595114601,0,0,0,0,"Clean"
"262",262,"Chuquisaca",1,0.877942030279592,0.867699867379446,1,0,0.764,0,"VS"
"263",263,"Chuquisaca",1,0.899875092301187,0.550757905046509,0,0,0,0,"Clean"
"264",264,"Chuquisaca",1,0.991266761679057,0.477202039610709,0,1,0,0.921,"BBS"
"265",265,"Chuquisaca",1,0.880209073413576,0.862566311009102,1,0,0.754,0,"VS"
"266",266,"Chuquisaca",1,0.976116565276051,0.382892127670506,0,1,0,0.799,"BBS"
"267",267,"Chuquisaca",1,0.975284952782044,0.50771821166599,0,1,0,0.818,"BBS"
"268",268,"Chuquisaca",1,0.902441895457726,0.439307495223354,0,0,0,0,"Clean"
"269",269,"Chuquisaca",1,0.858558197073776,0.448511967483097,0,0,0,0,"Clean"
"270",270,"Chuquisaca",1,0.876044182889561,0.421265884610891,0,0,0,0,"Clean"
"271",271,"Chuquisaca",1,0.88977263348881,0.525956024756495,0,0,0,0,"Clean"
"272",272,"Chuquisaca",1,0.879872007783201,0.955614375940031,1,0,0.895,0,"VS"
"273",273,"Chuquisaca",1,0.877883802240501,0.863183849327446,1,0,0.782,0,"VS"
"274",274,"Chuquisaca",1,0.882806335196414,0.902229343667188,1,0,0.794,0,"VS"
"275",275,"Chuquisaca",1,0.873388851073696,0.424762596100959,0,0,0,0,"Clean"
"276",276,"Chuquisaca",1,0.870303710276143,0.42403717591534,0,0,0,0,"Clean"
"277",277,"Chuquisaca",1,0.978415833186591,0.42881561863294,0,1,0,0.768,"BBS"
"278",278,"Chuquisaca",1,0.886793545468544,0.412414072706039,0,0,0,0,"Clean"
"279",279,"Chuquisaca",1,0.902579831065557,0.416078867859066,0,0,0,0,"Clean"
"280",280,"Chuquisaca",1,0.889132870018318,0.904578481968325,1,0,0.849,0,"VS"
"281",281,"Chuquisaca",1,0.890550295026131,0.52127260550561,0,0,0,0,"Clean"
"282",282,"Chuquisaca",1,0.857390523307077,0.829964143486354,1,0,0.677,0,"VS"
"283",283,"Chuquisaca",1,0.871371051212404,0.544125983421968,0,0,0,0,"Clean"
"284",284,"Chuquisaca",1,0.86186651959461,0.492204411200709,0,0,0,0,"Clean"
"285",285,"Chuquisaca",1,0.888046430199538,0.406258570070686,0,0,0,0,"Clean"
"286",286,"Chuquisaca",1,1,0.558693708708335,0,1,0,1,"BBS"
"287",287,"Chuquisaca",1,0.858520001002044,0.360825402924732,0,0,0,0,"Clean"
"288",288,"Chuquisaca",1,0.902037787350816,0.532728374198224,0,0,0,0,"Clean"
"289",289,"Chuquisaca",1,0.907358300571679,0.460564567034381,0,0,0,0,"Clean"
"290",290,"Chuquisaca",1,0.982191163914076,0.55601784600865,0,1,0,0.823,"BBS"
"291",291,"Chuquisaca",1,0.96919098562837,0.550897665915492,0,1,0,0.779,"BBS"
"292",292,"Chuquisaca",1,0.876490346777957,0.423020106451614,0,0,0,0,"Clean"
"293",293,"Chuquisaca",1,0.884835570736147,0.372334257417141,0,0,0,0,"Clean"
"294",294,"Chuquisaca",1,0.968468859714026,0.420213863996779,0,1,0,0.721,"BBS"
"295",295,"Chuquisaca",1,0.87772859266796,0.538515154976269,0,0,0,0,"Clean"
"296",296,"Chuquisaca",1,0.901929272683638,0.566184329604322,0,0,0,0,"Clean"
"297",297,"Chuquisaca",1,0.859125186964265,0.850857203812219,1,0,0.73,0,"VS"
